Route,lat,lon,elevation
1,-2.30482,-78.11756,
2,-2.3048,-78.11784,
3,-2.3048,-78.11784,
4,-2.30558,-78.11792,
5,-2.30633,-78.118,
6,-2.30639,-78.11801,
7,-2.30671,-78.11806,
8,-2.3076,-78.11816,
9,-2.30859,-78.11827,
10,-2.30859,-78.11827,
11,-2.30857,-78.11839,
12,-2.30854,-78.11853,
13,-2.30826,-78.11928,
14,-2.30788,-78.12028,
15,-2.30776,-78.12068,
16,-2.30776,-78.12068,
17,-2.30798,-78.1209,
18,-2.30825,-78.12119,
19,-2.30838,-78.12134,
20,-2.30864,-78.12162,
21,-2.30888,-78.12192,
22,-2.30914,-78.12221,
23,-2.30934,-78.12242,
24,-2.30949,-78.12253,
25,-2.30965,-78.12259,
26,-2.30965,-78.12259,
27,-2.30964,-78.12262,
28,-2.30965,-78.12266,
29,-2.30967,-78.12269,
30,-2.30969,-78.12271,
31,-2.30973,-78.12272,
32,-2.30976,-78.12272,
33,-2.30976,-78.12272,
34,-2.31079,-78.12295,
35,-2.31099,-78.12302,
36,-2.31116,-78.1231,
37,-2.31136,-78.12323,
38,-2.31148,-78.12337,
39,-2.31157,-78.12351,
40,-2.31165,-78.12363,
41,-2.31169,-78.12377,
42,-2.3117,-78.12395,
43,-2.3117,-78.1243,
44,-2.3117,-78.1243,
45,-2.3117,-78.12434,
46,-2.31171,-78.12438,
47,-2.31173,-78.12441,
48,-2.31176,-78.12444,
49,-2.3118,-78.12446,
50,-2.3118,-78.12446,
51,-2.31192,-78.12454,
52,-2.31231,-78.12474,
53,-2.31271,-78.125,
54,-2.31287,-78.1251,
55,-2.31318,-78.12529,
56,-2.31351,-78.12551,
57,-2.31369,-78.12566,
58,-2.31383,-78.12583,
59,-2.31445,-78.12663,
60,-2.31463,-78.12684,
61,-2.31492,-78.12717,
62,-2.31524,-78.1275,
63,-2.31618,-78.12847,
64,-2.31704,-78.12934,
65,-2.31849,-78.13083,
66,-2.31919,-78.13155,
67,-2.32007,-78.13239,
68,-2.32134,-78.1336,
69,-2.322,-78.13427,
70,-2.32265,-78.13493,
71,-2.32336,-78.13562,
72,-2.32395,-78.13619,
73,-2.32463,-78.1369,
74,-2.32479,-78.13707,
75,-2.32517,-78.13746,
76,-2.32531,-78.13762,
77,-2.32559,-78.13798,
78,-2.3263,-78.13915,
79,-2.32646,-78.13946,
80,-2.32668,-78.13974,
81,-2.32683,-78.13995,
82,-2.32688,-78.13999,
83,-2.32693,-78.14004,
84,-2.32717,-78.14022,
85,-2.32723,-78.14025,
86,-2.32741,-78.14032,
87,-2.32759,-78.14037,
88,-2.32778,-78.14049,
89,-2.32784,-78.14058,
90,-2.32784,-78.14058,
91,-2.32784,-78.14063,
92,-2.32786,-78.14069,
93,-2.32789,-78.14074,
94,-2.32793,-78.14079,
95,-2.32799,-78.14082,
96,-2.32805,-78.14084,
97,-2.32811,-78.14084,
98,-2.32817,-78.14082,
99,-2.32823,-78.14079,
100,-2.32828,-78.14075,
101,-2.32828,-78.14075,
102,-2.32843,-78.14069,
103,-2.32871,-78.14057,
104,-2.32883,-78.1405,
105,-2.32902,-78.14045,
106,-2.32931,-78.14026,
107,-2.33082,-78.13891,
108,-2.33173,-78.13828,
109,-2.33256,-78.13778,
110,-2.33287,-78.13769,
111,-2.33327,-78.13768,
112,-2.33342,-78.13764,
113,-2.33357,-78.13754,
114,-2.33384,-78.1372,
115,-2.33412,-78.13672,
116,-2.33447,-78.13613,
117,-2.33479,-78.13584,
118,-2.335,-78.13574,
119,-2.33517,-78.13569,
120,-2.33544,-78.13568,
121,-2.33592,-78.13587,
122,-2.33696,-78.13644,
123,-2.33966,-78.13801,
124,-2.3397,-78.13804,
125,-2.34155,-78.13929,
126,-2.34199,-78.1396,
127,-2.34225,-78.13984,
128,-2.34254,-78.14009,
129,-2.34298,-78.14061,
130,-2.34322,-78.1409,
131,-2.34331,-78.141,
132,-2.34375,-78.14152,
133,-2.34381,-78.1416,
134,-2.34391,-78.14175,
135,-2.34396,-78.14184,
136,-2.34399,-78.14188,
137,-2.34419,-78.14222,
138,-2.34437,-78.14272,
139,-2.34481,-78.14393,
140,-2.34494,-78.14434,
141,-2.345,-78.14453,
142,-2.34506,-78.14472,
143,-2.34511,-78.1449,
144,-2.34511,-78.14493,
145,-2.34515,-78.14538,
146,-2.34519,-78.14656,
147,-2.34527,-78.14885,
148,-2.34538,-78.15114,
149,-2.34545,-78.15244,
150,-2.34541,-78.15307,
151,-2.34528,-78.15359,
152,-2.34518,-78.15394,
153,-2.34501,-78.15439,
154,-2.34476,-78.15503,
155,-2.34447,-78.15585,
156,-2.34439,-78.15609,
157,-2.34422,-78.15687,
158,-2.34414,-78.15755,
159,-2.34416,-78.15777,
160,-2.34424,-78.15803,
161,-2.34444,-78.15819,
162,-2.34469,-78.15833,
163,-2.34573,-78.15873,
164,-2.34607,-78.15881,
165,-2.34623,-78.15884,
166,-2.34662,-78.1589,
167,-2.34686,-78.15883,
168,-2.34706,-78.15868,
169,-2.34744,-78.15788,
170,-2.34769,-78.15775,
171,-2.34785,-78.15775,
172,-2.34804,-78.15783,
173,-2.34822,-78.15804,
174,-2.34859,-78.15852,
175,-2.34888,-78.15885,
176,-2.34918,-78.15916,
177,-2.34936,-78.15926,
178,-2.34956,-78.15933,
179,-2.34988,-78.15934,
180,-2.35088,-78.15915,
181,-2.35115,-78.15902,
182,-2.35133,-78.15886,
183,-2.3516,-78.1585,
184,-2.35175,-78.15833,
185,-2.35186,-78.15826,
186,-2.35196,-78.15822,
187,-2.35206,-78.1582,
188,-2.35216,-78.15819,
189,-2.35239,-78.1582,
190,-2.35254,-78.15826,
191,-2.35269,-78.15835,
192,-2.35309,-78.15875,
193,-2.35353,-78.15895,
194,-2.35388,-78.15889,
195,-2.35405,-78.15882,
196,-2.35421,-78.15873,
197,-2.35479,-78.15817,
198,-2.35483,-78.15813,
199,-2.35573,-78.15681,
200,-2.35595,-78.15659,
201,-2.35622,-78.15645,
202,-2.35856,-78.15589,
203,-2.36014,-78.15552,
204,-2.36145,-78.15522,
205,-2.3619,-78.15522,
206,-2.36218,-78.15528,
207,-2.36257,-78.15544,
208,-2.36403,-78.15633,
209,-2.36653,-78.15785,
210,-2.36809,-78.1588,
211,-2.36868,-78.15911,
212,-2.36875,-78.15915,
213,-2.37201,-78.16054,
214,-2.37305,-78.16106,
215,-2.37364,-78.16142,
216,-2.374,-78.1617,
217,-2.3751,-78.16287,
218,-2.37534,-78.1631,
219,-2.3761,-78.16376,
220,-2.3768,-78.16411,
221,-2.37886,-78.1646,
222,-2.37963,-78.16488,
223,-2.37986,-78.16499,
224,-2.38038,-78.16525,
225,-2.38165,-78.16598,
226,-2.38365,-78.16712,
227,-2.38574,-78.16831,
228,-2.38729,-78.1692,
229,-2.38814,-78.16959,
230,-2.3884,-78.16967,
231,-2.38869,-78.16976,
232,-2.38921,-78.16987,
233,-2.39013,-78.17007,
234,-2.39312,-78.17069,
235,-2.39337,-78.17065,
236,-2.39362,-78.17051,
237,-2.3938,-78.17032,
238,-2.39415,-78.16994,
239,-2.39448,-78.1697,
240,-2.39522,-78.16935,
241,-2.3956,-78.16915,
242,-2.39584,-78.16896,
243,-2.39607,-78.16873,
244,-2.39848,-78.16559,
245,-2.40004,-78.16359,
246,-2.40052,-78.16301,
247,-2.40127,-78.16232,
248,-2.40139,-78.16208,
249,-2.40166,-78.16129,
250,-2.40191,-78.16082,
251,-2.40233,-78.16034,
252,-2.40261,-78.16003,
253,-2.40487,-78.15738,
254,-2.40548,-78.15667,
255,-2.40587,-78.15633,
256,-2.40621,-78.15614,
257,-2.40675,-78.15598,
258,-2.40782,-78.15572,
259,-2.40853,-78.15555,
260,-2.40998,-78.15519,
261,-2.41033,-78.15515,
262,-2.4107,-78.15515,
263,-2.41101,-78.15521,
264,-2.4115,-78.15534,
265,-2.41218,-78.15552,
266,-2.41253,-78.15561,
267,-2.41312,-78.15556,
268,-2.41343,-78.15537,
269,-2.41379,-78.15501,
270,-2.41384,-78.15497,
271,-2.41437,-78.15445,
272,-2.41474,-78.15409,
273,-2.41551,-78.15387,
274,-2.41563,-78.15385,
275,-2.4165,-78.15368,
276,-2.41738,-78.15352,
277,-2.41828,-78.15335,
278,-2.41892,-78.15324,
279,-2.41925,-78.15318,
280,-2.42023,-78.15308,
281,-2.42197,-78.15286,
282,-2.42559,-78.1525,
283,-2.42655,-78.15246,
284,-2.42696,-78.15256,
285,-2.42743,-78.15283,
286,-2.42761,-78.15297,
287,-2.43163,-78.15609,
288,-2.43201,-78.15641,
289,-2.4326,-78.15693,
290,-2.43428,-78.15838,
291,-2.43543,-78.15937,
292,-2.43763,-78.16136,
293,-2.43869,-78.16232,
294,-2.43892,-78.16248,
295,-2.43947,-78.16286,
296,-2.4398,-78.1631,
297,-2.44037,-78.16351,
298,-2.44071,-78.1637,
299,-2.44158,-78.16418,
300,-2.44233,-78.1646,
301,-2.44255,-78.16472,
302,-2.44263,-78.16476,
303,-2.44346,-78.16522,
304,-2.44511,-78.16613,
305,-2.44655,-78.16735,
306,-2.44782,-78.16844,
307,-2.44808,-78.16865,
308,-2.44859,-78.16898,
309,-2.4494,-78.16951,
310,-2.44966,-78.16968,
311,-2.44977,-78.16976,
312,-2.45011,-78.16998,
313,-2.45081,-78.17042,
314,-2.45103,-78.17057,
315,-2.45103,-78.17057,
316,-2.45112,-78.17063,
317,-2.45143,-78.17083,
318,-2.45201,-78.17119,
319,-2.4527,-78.17162,
320,-2.45316,-78.17191,
321,-2.45362,-78.17223,
322,-2.45362,-78.17223,
323,-2.45377,-78.17277,
324,-2.4538,-78.1729,
325,-2.45383,-78.17302,
326,-2.45399,-78.17367,
327,-2.45399,-78.17367,
328,-2.4549,-78.17343,
329,-2.45576,-78.17319,
330,-2.45648,-78.17299,
331,-2.45648,-78.17299,
332,-2.45638,-78.17257,
333,-2.45638,-78.17257,
334,-2.45638,-78.17257,
335,-2.45625,-78.17208,
336,-2.45602,-78.17117,
337,-2.45579,-78.17027,
338,-2.45555,-78.1693,
339,-2.45555,-78.1693,
340,-2.4565,-78.16906,
341,-2.45741,-78.16884,
342,-2.45835,-78.16859,
343,-2.45918,-78.16838,
344,-2.46008,-78.16813,
345,-2.46015,-78.16812,
346,-2.46109,-78.16787,
347,-2.46169,-78.16773,
348,-2.46236,-78.16755,
349,-2.4629,-78.16728,
350,-2.46316,-78.16717,
351,-2.46322,-78.16717,
352,-2.46328,-78.16718,
353,-2.4634,-78.16728,
354,-2.4634,-78.16728,
355,-2.46363,-78.16761,
356,-2.46401,-78.1682,
357,-2.46462,-78.1692,
358,-2.46517,-78.1702,
359,-2.46528,-78.17037,
360,-2.46528,-78.17037,
361,-2.46537,-78.1704,
362,-2.46619,-78.17031,
363,-2.46713,-78.17023,
364,-2.46801,-78.17015,
365,-2.46894,-78.17007,
366,-2.46982,-78.16995,
367,-2.4707,-78.16984,
368,-2.47167,-78.1697,
369,-2.4726,-78.16957,
370,-2.47288,-78.16954,
371,-2.47454,-78.1693,
372,-2.4755,-78.16917,
373,-2.47647,-78.16903,
374,-2.4776,-78.16887,
375,-2.4783,-78.16873,
376,-2.47866,-78.16866,
377,-2.47889,-78.16864,
378,-2.47889,-78.16864,
379,-2.47892,-78.16866,
380,-2.47896,-78.16867,
381,-2.479,-78.16867,
382,-2.47904,-78.16866,
383,-2.47907,-78.16863,
384,-2.47909,-78.16859,
385,-2.47909,-78.16859,
386,-2.47911,-78.16857,
387,-2.47915,-78.16855,
388,-2.4792,-78.16853,
389,-2.47929,-78.1685,
390,-2.47937,-78.16848,
391,-2.47951,-78.16845,
392,-2.48017,-78.16833,
393,-2.48025,-78.16831,
394,-2.48033,-78.16828,
395,-2.48042,-78.16827,
396,-2.48048,-78.16825,
397,-2.48055,-78.16823,
398,-2.48065,-78.1682,
399,-2.48073,-78.16817,
400,-2.48079,-78.16815,
401,-2.48088,-78.16811,
402,-2.48103,-78.16804,
403,-2.48145,-78.16782,
404,-2.48159,-78.16775,
405,-2.48175,-78.16767,
406,-2.48182,-78.16763,
407,-2.48195,-78.16756,
408,-2.48208,-78.16749,
409,-2.48221,-78.16742,
410,-2.48235,-78.16733,
411,-2.48246,-78.16726,
412,-2.48257,-78.16717,
413,-2.48271,-78.16705,
414,-2.48281,-78.16697,
415,-2.48293,-78.16686,
416,-2.48308,-78.16672,
417,-2.48325,-78.16658,
418,-2.48344,-78.16638,
419,-2.48351,-78.1663,
420,-2.4838,-78.16598,
421,-2.48387,-78.1659,
422,-2.48402,-78.16571,
423,-2.48419,-78.16551,
424,-2.48437,-78.16533,
425,-2.48471,-78.16503,
426,-2.48489,-78.16486,
427,-2.48513,-78.16467,
428,-2.48535,-78.16451,
429,-2.48563,-78.16431,
430,-2.48573,-78.16424,
