/gpx,,,,,,,,,,,
/@creator,/@version,/@version/#agg,/@xsi:schemaLocation,/metadata/copyright/@author,/metadata/copyright/license,/metadata/link/@href,/metadata/link/text,/metadata/name,/metadata/time,/trk/trkseg/trkpt/@lat,/trk/trkseg/trkpt/@lon
osrm,1.1,1.1,http://www.topografix.com/GPX/1/1 http://www.topografix.com/GPX/1/1/gpx.xsd,OpenStreetMap contributors,http://www.openstreetmap.org/copyright,https://map.project-osrm.org/?z=10&center=-2.750332%2C-78.436890&loc=-2.304625%2C-78.117547&loc=-2.456017%2C-78.172663&loc=-2.966314%2C-78.430813&loc=-3.118336%2C-78.530016&hl=en&alt=0&srv=0,OpenStreetMap Routing with Open Source Routing Machine,"29 de Mayo, E45, E45, Via Mendez - Macas, E45, San Miguel del Conchay",5/18/2022 8:52,-2.30482,-78.11756
osrm,1.1,,http://www.topografix.com/GPX/1/1 http://www.topografix.com/GPX/1/1/gpx.xsd,OpenStreetMap contributors,http://www.openstreetmap.org/copyright,https://map.project-osrm.org/?z=10&center=-2.750332%2C-78.436890&loc=-2.304625%2C-78.117547&loc=-2.456017%2C-78.172663&loc=-2.966314%2C-78.430813&loc=-3.118336%2C-78.530016&hl=en&alt=0&srv=0,OpenStreetMap Routing with Open Source Routing Machine,"29 de Mayo, E45, E45, Via Mendez - Macas, E45, San Miguel del Conchay",5/18/2022 8:52,-2.3048,-78.11784
osrm,1.1,,http://www.topografix.com/GPX/1/1 http://www.topografix.com/GPX/1/1/gpx.xsd,OpenStreetMap contributors,http://www.openstreetmap.org/copyright,https://map.project-osrm.org/?z=10&center=-2.750332%2C-78.436890&loc=-2.304625%2C-78.117547&loc=-2.456017%2C-78.172663&loc=-2.966314%2C-78.430813&loc=-3.118336%2C-78.530016&hl=en&alt=0&srv=0,OpenStreetMap Routing with Open Source Routing Machine,"29 de Mayo, E45, E45, Via Mendez - Macas, E45, San Miguel del Conchay",5/18/2022 8:52,-2.3048,-78.11784
osrm,1.1,,http://www.topografix.com/GPX/1/1 http://www.topografix.com/GPX/1/1/gpx.xsd,OpenStreetMap contributors,http://www.openstreetmap.org/copyright,https://map.project-osrm.org/?z=10&center=-2.750332%2C-78.436890&loc=-2.304625%2C-78.117547&loc=-2.456017%2C-78.172663&loc=-2.966314%2C-78.430813&loc=-3.118336%2C-78.530016&hl=en&alt=0&srv=0,OpenStreetMap Routing with Open Source Routing Machine,"29 de Mayo, E45, E45, Via Mendez - Macas, E45, San Miguel del Conchay",5/18/2022 8:52,-2.30558,-78.11792
osrm,1.1,,http://www.topografix.com/GPX/1/1 http://www.topografix.com/GPX/1/1/gpx.xsd,OpenStreetMap contributors,http://www.openstreetmap.org/copyright,https://map.project-osrm.org/?z=10&center=-2.750332%2C-78.436890&loc=-2.304625%2C-78.117547&loc=-2.456017%2C-78.172663&loc=-2.966314%2C-78.430813&loc=-3.118336%2C-78.530016&hl=en&alt=0&srv=0,OpenStreetMap Routing with Open Source Routing Machine,"29 de Mayo, E45, E45, Via Mendez - Macas, E45, San Miguel del Conchay",5/18/2022 8:52,-2.30633,-78.118
osrm,1.1,,http://www.topografix.com/GPX/1/1 http://www.topografix.com/GPX/1/1/gpx.xsd,OpenStreetMap contributors,http://www.openstreetmap.org/copyright,https://map.project-osrm.org/?z=10&center=-2.750332%2C-78.436890&loc=-2.304625%2C-78.117547&loc=-2.456017%2C-78.172663&loc=-2.966314%2C-78.430813&loc=-3.118336%2C-78.530016&hl=en&alt=0&srv=0,OpenStreetMap Routing with Open Source Routing Machine,"29 de Mayo, E45, E45, Via Mendez - Macas, E45, San Miguel del Conchay",5/18/2022 8:52,-2.30639,-78.11801
osrm,1.1,,http://www.topografix.com/GPX/1/1 http://www.topografix.com/GPX/1/1/gpx.xsd,OpenStreetMap contributors,http://www.openstreetmap.org/copyright,https://map.project-osrm.org/?z=10&center=-2.750332%2C-78.436890&loc=-2.304625%2C-78.117547&loc=-2.456017%2C-78.172663&loc=-2.966314%2C-78.430813&loc=-3.118336%2C-78.530016&hl=en&alt=0&srv=0,OpenStreetMap Routing with Open Source Routing Machine,"29 de Mayo, E45, E45, Via Mendez - Macas, E45, San Miguel del Conchay",5/18/2022 8:52,-2.30671,-78.11806
osrm,1.1,,http://www.topografix.com/GPX/1/1 http://www.topografix.com/GPX/1/1/gpx.xsd,OpenStreetMap contributors,http://www.openstreetmap.org/copyright,https://map.project-osrm.org/?z=10&center=-2.750332%2C-78.436890&loc=-2.304625%2C-78.117547&loc=-2.456017%2C-78.172663&loc=-2.966314%2C-78.430813&loc=-3.118336%2C-78.530016&hl=en&alt=0&srv=0,OpenStreetMap Routing with Open Source Routing Machine,"29 de Mayo, E45, E45, Via Mendez - Macas, E45, San Miguel del Conchay",5/18/2022 8:52,-2.3076,-78.11816
osrm,1.1,,http://www.topografix.com/GPX/1/1 http://www.topografix.com/GPX/1/1/gpx.xsd,OpenStreetMap contributors,http://www.openstreetmap.org/copyright,https://map.project-osrm.org/?z=10&center=-2.750332%2C-78.436890&loc=-2.304625%2C-78.117547&loc=-2.456017%2C-78.172663&loc=-2.966314%2C-78.430813&loc=-3.118336%2C-78.530016&hl=en&alt=0&srv=0,OpenStreetMap Routing with Open Source Routing Machine,"29 de Mayo, E45, E45, Via Mendez - Macas, E45, San Miguel del Conchay",5/18/2022 8:52,-2.30859,-78.11827
osrm,1.1,,http://www.topografix.com/GPX/1/1 http://www.topografix.com/GPX/1/1/gpx.xsd,OpenStreetMap contributors,http://www.openstreetmap.org/copyright,https://map.project-osrm.org/?z=10&center=-2.750332%2C-78.436890&loc=-2.304625%2C-78.117547&loc=-2.456017%2C-78.172663&loc=-2.966314%2C-78.430813&loc=-3.118336%2C-78.530016&hl=en&alt=0&srv=0,OpenStreetMap Routing with Open Source Routing Machine,"29 de Mayo, E45, E45, Via Mendez - Macas, E45, San Miguel del Conchay",5/18/2022 8:52,-2.30859,-78.11827
